,,,best_fitness,best_fitness,best_fitness,function_evals,function_evals,time,time,converged,converged
,,,mean,std,min,mean,std,mean,std,sum,mean
function,dimension,strategy,,,,,,,,,
rastrigin,10,L-BFGS-B,73.162224,18.666433,42.783108,218.9,59.437217,0.002866,0.000721,0,0.0
rastrigin,10,plus,31.772264,12.196655,11.939499,70020.0,0.0,0.664522,0.005287,0,0.0
sphere,10,L-BFGS-B,0.0,0.0,0.0,38.866667,5.581579,0.000683,0.001026,30,1.0
sphere,10,plus,1e-06,0.0,0.0,6725.0,423.735441,0.051825,0.004332,30,1.0
